                      radius                ground state                 1st excited                 2nd excited
   2.0000000000000000       -15.616499798628102       -1.6505306750832922       0.44872049585292401     
   2.5000000000000000       -21.236137854757150       -4.7314953900374377       0.17654942747449201     
   3.0000000000000000       -26.760516679192985       -9.1669683723556918      -0.89368413713752914     
   3.5000000000000000       -31.692008309394989       -14.342840778704304       -3.5333105536391112     
   4.0000000000000000       -35.788389063564018       -19.606714644018790       -7.4494408829947041     
   4.5000000000000000       -39.028460874066951       -24.490917553395448       -11.998942716112957     
   5.0000000000000000       -41.515375392805510       -28.759926893332047       -16.630328864878312     
   5.5000000000000000       -43.394241929596333       -32.354369849188188       -20.988821122613327     
   6.0000000000000000       -44.805610318439491       -35.315118206395262       -24.898573215771524     
   6.5000000000000000       -45.867010407906491       -37.725912462883265       -28.305519646399500     
   7.0000000000000000       -46.669758686624768       -39.679878394802529       -31.224435301095848     
   7.5000000000000000       -47.282093368543187       -41.263478310526779       -33.702472701505975     
   8.0000000000000000       -47.753996551347122       -42.550593889816454       -35.797713458425442     
   8.5000000000000000       -48.121759405888014       -43.601665775767543       -37.567991995816762     
   9.0000000000000000       -48.411686303493646       -44.464984691134042       -39.065836494508687     
   9.5000000000000000       -48.642894924247003       -45.178661370342951       -40.336728270839771     
   10.000000000000000       -48.829357775130738       -45.772607892792522       -41.419011356866370     
